-1	-61	222
-2	-61	222
-3	-61	222
-5	-61	222
-6	-61	222
-8	-61	222
-9	-61	222
-10	-61	222
-12	-61	222
-13	-61	222
-15	-61	222
-16	-61	222
-17	-61	222
-19	-61	222
-20	-61	222
-22	-61	222
-16	-41	222
-16	-39	222
-16	-36	222
-16	-34	222
-16	-32	222
-16	-30	222
-16	-28	222
-16	-27	222
-16	-25	222
-16	-24	222
-16	-23	222
-16	-22	222
-16	-21	222
-16	-20	222
-16	-19	222
-16	-18	222
-16	-17	222
-16	-16	222
-16	-15	222
-16	-15	222
-16	-14	222
-16	-13	222
-16	-13	222
-16	-12	222
-16	-11	222
-16	-11	222
-16	-10	222
-16	-10	222
-16	-9	222
-16	-9	222
-16	-8	222
-16	-8	222
-16	-7	222
-16	-7	222
-16	-6	222
-16	-6	222
-16	-5	222
-16	-5	222
-16	-5	222
-16	-4	222
-16	-4	222
-16	-3	222
-16	-3	222
-16	-3	222
-16	-2	222
-16	-2	222
-16	-2	222
-16	-1	222
-16	-1	222
-16	0	222
-16	0	222
-16	0	222
-16	0	222
-16	0	222
-16	0	222
-16	1	222
-16	1	222
-16	1	222
-16	2	222
-16	2	222
-16	3	222
-16	3	222
-16	3	222
-16	4	222
-16	4	222
-16	5	222
-16	5	222
-16	5	222
-16	6	222
-16	6	222
-16	7	222
-16	7	222
-16	7	222
-16	8	222
-16	8	222
-16	9	222
-16	9	222
-16	10	222
-16	10	222
-16	11	222
-16	11	222
-16	12	222
-16	12	222
-16	13	222
-16	14	222
-16	14	222
-16	15	222
-16	15	222
-16	16	222
-16	17	222
-16	18	222
-16	19	222
-16	19	222
-16	20	222
-16	21	222
-16	22	222
-16	23	222
-16	25	222
-16	26	222
-16	27	222
-16	28	222
-15	29	222
-15	29	222
-14	29	222
-13	29	222
-12	29	222
-11	29	222
-11	29	222
-10	29	222
-9	29	222
-3	15	222
-2	17	222
-1	15	222
-1	29	222
0	29	222
0	29	222
0	29	222
1	29	222
2	29	222
2	29	222
3	29	222
4	29	222
4	29	222
5	29	222
6	29	222
6	29	222
7	29	222
8	29	222
8	29	222
9	29	222
10	29	222
11	30	222
11	27	222
11	25	222
11	24	222
11	22	222
11	21	222
10	19	222
11	18	222
10	17	222
10	16	222
10	15	222
10	15	222
10	14	222
10	13	222
10	12	222
10	12	222
10	11	222
10	11	222
10	10	222
10	10	222
10	9	222
10	9	222
10	8	222
10	8	222
10	7	222
10	7	222
10	7	222
29	16	222
29	15	222
29	14	222
29	13	222
29	13	222
29	12	222
29	11	222
29	10	222
29	10	222
29	9	222
29	8	222
29	7	222
29	7	222
29	6	222
29	5	222
29	5	222
29	4	222
29	3	222
29	3	222
29	2	222
29	1	222
29	1	222
29	0	222
29	0	222
29	0	222
28	-1	222
28	-1	222
29	-2	222
29	-3	222
29	-3	222
29	-4	222
29	-5	222
28	-6	222
28	-6	222
28	-7	222
29	-7	222
28	-8	222
28	-9	222
28	-10	222
29	-10	222
28	-11	222
28	-12	222
28	-13	222
28	-13	222
28	-14	222
28	-15	222
28	-16	222
28	-17	222
28	-17	222
28	-18	222
29	-19	222
28	-20	222
29	-21	222
28	-22	222
28	-23	222
28	-24	222
28	-26	222
28	-27	222
29	-28	222
29	-30	222
29	-31	222
29	-32	222
29	-34	222
29	-35	222
29	-37	222
29	-39	222
29	-41	222
10	-16	222
10	-16	222
10	-17	222
10	-18	222
10	-19	222
10	-20	222
10	-21	222
10	-22	222
10	-23	222
10	-25	222
10	-27	222
10	-28	222
10	-31	222
10	-33	222
